,"Title","Date","Author Keywords"
178,"Approaching Sentiment Analysis by using semi-supervised learning of multi-dimensional classifiers ","2012/09/01","Sentiment Analysis,Multi-dimensional classification,Multi-dimensional class Bayesian network classifiers,Semi-supervised learning,EM algorithm"
179,"Mining methodologies from NLP publications: A case study in automatic terminology recognition ","2012/04/01","Information extraction,Methodology mining,Conditional Random Fields,Automatic terminology mining"
180,"Incremental learning with partial-supervision based on hierarchical Dirichlet process and the application for document classification ","2015/08/01","Hierachical Dirichlet process,Semi-supervised learning,Partial-supervision incremental learning,Text classification,Natural language processing"
181,"An AI-based Issue Analyzing Framework for Clinical QA Workflow ","2020/10/01",0
182,"Hoax Analyzer for Indonesian News Using Deep Learning Models ","2021/01/01","Hoax analyzer,Deep neural networks,Classifiers,Text classification"
183,"Multi-target support vector regression via correlation regressor chains ","2017/11/01",0
184,"Improving the BoVW via discriminative visual n-grams and MKL strategies ","2016/01/29","Visual words,Visual ,n,-grams,Image classification,Sequences of visual words,Multiple kernel learning"
185,"Demographic profile building for cold start in recommender system: A social media fusion approach ","2021/03/19","Data mining,Recommender system,Cold start,Machine learning"
186,"A disease inference method based on symptom extraction and bidirectional Long Short Term Memory networks ","2020/02/15","Disease inference,Clinical notes,BiLSTMs,Symptoms"
187,"Tree Edit Distance and Maximum Agreement Subtree ","2015/01/01","Graph algorithms,Pattern recognition,Tree edit distance,Maximum agreement subtree"
188,"Exploiting semantic patterns over biomedical knowledge graphs for predicting treatment and causative relations ","2018/06/01","Information extraction,Relation prediction,Semantic graph patterns"
189,"Multimodal big data affective analytics: A comprehensive survey using text, audio, visual and physiological signals ","2020/01/01","Affective computing,Multimodal fusion,Sentiment databases,Sentiment analysis,Affective applications"
190,"Stacked squeeze-and-excitation recurrent residual network for visual-semantic matching ","2020/09/01","Vision and language,Cross-modal retrieval,Visual-Semantic embedding"
191,"Deep Learning for Classification of Radiology Reports with a Hierarchical Schema ","2020/01/01","radiology reports,deep learning,text classification"
192,"An improved semi-supervised dimensionality reduction using feature weighting: Application to sentiment analysis ","2018/11/01","Semi-supervised dimensionality reduction,Feature weighting,Feature extraction,Sentiment analysis,Natural language processing (NLP)"
193,"Recurrent convolutional video captioning with global and local attention ","2019/12/22","Video captioning,Global features,Local features,CNN,Multimodal attention"
194,"RAHM: Relation augmented hierarchical multi-task learning framework for reasonable medication stocking ","2020/08/01","Preventive healthcare management,Reasonable medication stocking,Hierarchical multi-task learning,Long short-term memory networks"
195,"Augmenting commit classification by using fine-grained source code changes and a pre-trained deep neural language model ","2021/07/01","Software maintenance,Commit classification,Code changes,Deep neural networks,Pre-trained neural language model"
196,"Emotion-based analysis of programming languages on Stack Overflow ","2020/09/01","Programming languages,Emotion detection,Machine learning"
197,"An Extensible Schema for Building Large Weakly-Labeled Semantic Corpora ","2018/01/01","Distant-supervision,information extraction,corpus annotation"
198,"Hierarchical state recurrent neural network for social emotion ranking ","2021/07/01","Sentiment analysis,Social emotion ranking,Attention mechanism"
199,"A multi-target approach to estimate software vulnerability characteristics and severity scores ","2018/12/01","Information security,Software vulnerability,Text analysis,Multi-target classification"
200,"Categorization of free-text drug orders using character-level recurrent neural networks ","2019/09/01","Drug ordering,Machine learning,Recurrent neural networks,Character-level models"
201,"Stereo matching algorithm based on deep learning: A survey ","2020/08/28","Stereo matching algorithm,Deep learning,Convolutional neural network,Artificial intelligence"
202,"Automated Radiology Report Generation using Conditioned Transformers ","2021/03/26","Index Terms,—Report Generation,Transformers,GPT2,Transfer Learning,X-Ray,Deep Learning"
203,"Toward systems-centered analysis of patient safety events: Improving root cause analysis by optimized incident classification and information presentation ","2020/03/01","Patient safety,Medical error,Root cause analysis,Machine learning,Text mining"
204,"Group incremental adaptive clustering based on neural network and rough set theory for crime report categorization ","2019/11/19","Crime report categorization,Group incremental clustering,Neural network,Adaptive resonance theory,Rough set theory,Unsupervised learning"
205,"Automatic ICD-9 coding via deep transfer learning ","2019/01/09","Automatic ICD-9 coding,Deep learning,Transfer learning,MeSH"
206,"Ontology-guided feature engineering for clinical text classification ","2012/10/01","Natural language processing,Semantic similarity,Feature selection,Kernel methods,Information gain,Information content"
207,"Enhancing the identification of web genres by combining internal and external structures ","2021/06/01","Web genre identification,Combination,Dempster Shafer theory,OWA operators,MSC,41A05,41A10,65D05,65D17"
208,"Scalable deep asymmetric hashing via unequal-dimensional embeddings for image similarity search ","2020/10/28","Image retrieval,Matrix tri-factorization,Supervised learning,Semantic hashing,Unequal-dimensional embeddings"
209,"Efficient English text classification using selected Machine Learning Techniques ","2021/06/01","Text classification,English language,Machine Learning,Text mining,Support Vector Machines"
210,"Data equilibrium based automatic image annotation by fusing deep model and semantic propagation ","2017/11/01","SAE,Deep learning,Data equilibrium,Image annotation,Semantic propagation"
211,"Web image annotation based on Tri-relational Graph and semantic context analysis ","2019/05/01","Tri-relational graph,Semantic context analysis,Multilevel random walk with restart,Image label expansion"
212,"Special issue on hybrid artificial intelligence systems from the HAIS 2017 conference – Editorial ","2019/08/18",0
213,"Incorporating sentimental trend into gated mechanism based transformer network for story ending generation ","2021/01/19","Story ending generation,Sentiment trend,Transformer,Gated mechanism"
214,"Active label distribution learning ","2021/05/14","Label distribution learning,Active learning,Sparsity"
215,"Research on English translation long text filtering based on LSTM semantic relevance ","2021/02/01","English translation,Semantic analysis,FPGA,Text filtering,Feature extraction,Classification"
216,"Triple attention learning for classification of 14 thoracic diseases using chest radiography ","2021/01/01","Thoracic disease classification,Deep learning,Attention mechanism,Chest radiography"
217,"Convolutional neural network with margin loss for fake news detection ","2021/01/01","Fake news detection,Convolutional neural networks,Non-static word embedding,Margin loss function"
218,"fmi-ii: Table of Contents ","2018/10/01",0
219,"End-to-end LDA-based automatic weak signal detection in web news ","2021/01/05","Weak signals,Topic modeling,Latent Dirichlet allocation"
220,"Affect detection from arabic tweets using ensemble and deep learning techniques ","2020/10/16","Arabic text,Affect,Emotion detection,Emotion analysis,Machine learning,NLP,Emotion mining"
221,"Machine learning “red dot”: open-source, cloud, deep convolutional neural networks in chest radiograph binary normality classification ","2018/09/01",0
222,"Analysis and Classification of User Comments on YouTube Videos ","2020/01/01","YouTube Comments,Classification,Video Description,Association list,Bag of words"
223,"RETRACTED: Sentiment Analysis in Decision Sciences Research: An Illustration to IT Governance ","2013/01/01",0
224,"Multimodal feature fusion by relational reasoning and attention for visual question answering ","2020/03/01","Multimodal fusion,Visual question answering,Visual relational reasoning,Attention mechanism"
225,"Improving network embedding with partially available vertex and edge content ","2020/02/01",0
226,"Deep Recurrent neural network vs. support vector machine for aspect-based sentiment analysis of Arabic hotels’ reviews ","2018/07/01","Aspect-based sentiment analysis,Supervised machine learning,Arabic reviews,Deep learning"
227,"Exploring the multi-dimensionality of authenticity in dining experiences using online reviews ","2021/08/01","Authenticity,Restaurant,User-generated content (UGC),Text mining,Integrated learning,Human-machine learning,Machine learning,Classification"
228,"Automated ECG classification using a non-local convolutional block attention module ","2021/05/01","ECG,Cardiac arrhythmias, Cardiovascular diseases, Convolutional neural network, Attention mechanism, Non-local convolutional block attention module"
229,"Emerging clinical applications of text analytics ","2020/02/01",0
230,"Enhancing knowledge graph embedding with relational constraints ","2021/03/14","Knowledge graph embedding,Translational model,Relational constraints,Knowledge graph completion"
231,"kDeepBind: Prediction of RNA-Proteins binding sites using convolution neural network and k-gram features ","2021/01/15","Convolution neural network,k-Gram,RNA-Binding proteins,Sequence motifs"
232,"Affective neural networks and cognitive learning systems for big data analysis ","2014/10/01","Big data analysis,Affective neural networks,Cognitive learning systems"
233,"Deep model with neighborhood-awareness for text tagging ","2020/05/21","Neighborhood-aware,Negative sampling,Deep neural networks,Text tagging"
234,"Feature selection for hierarchical classification via joint semantic and structural information of labels ","2020/05/11","Feature selection,Hierarchical classification,Label semantic similarity,Label hierarchical structure"
235,"Towards Auto-labelling Issue Reports for Pull-Based Software Development using Text Mining Approach ","2019/01/01","Continuous Integration,GitHub,Issue Reports,Pull-Based Software Development,Text Classification"
236,"A multi-modal approach towards mining social media data during natural disasters - A case study of Hurricane Irma ","2021/02/15","Data mining,Social media,Natural disaster,Machine learning"
237,"Classification of Text, Automatic ","2006/01/01","feature selection,spam filtering,supervised learning,text categorization,text classification,vectorial text representations"
238,"Applications of artificial intelligence in battling against covid-19: A literature review ","2021/01/01","Artificial intelligence,Machine learning,Covid-19,SARS-CoV-2,Coronavirus,Epidemiology,Drug discovery,Vaccine development,Artificial neural networks,Evolutionary algorithms,Deep learning,Deep neural networks,Convolutional neural networks"
239,"An Unsupervised Hierarchical Rule Based Model for Aspect Term Extraction Augmented with Pruning Strategies ","2020/01/01","Aspect term extraction,rule based,word embedding,syntax,semantics,SemEval2014"
240,"Is deep learning better than traditional approaches in tag recommendation for software information sites? ","2019/05/01","Deep learning,Data analysis,Tag recommendation,Software information site,Software object"
241,"Node classification using kernel propagation in graph neural networks ","2021/07/15","Deep learning,Node classification,Network embedding,Graph neural networks,Attention"
242,"Diabetic complication prediction using a similarity-enhanced latent Dirichlet allocation model ","2019/10/01",0
243,"Automatic ICD code assignment of Chinese clinical notes based on multilayer attention BiRNN ","2019/03/01","ICD code,Clinical notes,Multilayer attention,Character-enhanced"
244,"HiWalk: Learning node embeddings from heterogeneous networks ","2019/03/01","Network analysis,Representation learning,Behavioral analysis,Random walk,Heterogeneous network"
245,"An attentive neural architecture for joint segmentation and parsing and its application to real estate ads ","2018/07/15","Neural networks,Joint model,Relation extraction,Entity recognition,Dependency parsing"
246,"Toward assessing clinical trial publications for reporting transparency ","2021/04/01","Reporting guidelines,CONSORT,Corpus annotation,Text mining,Sentence classification"
247,"Combining glass box and black box evaluations in the identification of heart disease risk factors and their temporal relations from clinical records ","2015/12/01","Natural language processing,Electronic health records,Risk factors,Program evaluation"
248,"Weakly supervised image classification and pointwise localization with graph convolutional networks ","2021/01/01","Deep learning,Learning systems,Convolutional neural networks,Predictive models,Image classification,Graph theory"
249,"An analysis of hierarchical text classification using word embeddings ","2019/01/01",0
250,"An empirical evaluation of deep learning for ICD-9 code assignment using MIMIC-III clinical notes ","2019/08/01","Deep learning,Clinical notes,Machine learning,ICD-9,Medical codes,RNNs,CNNs,MIMIC-III,Code assignment"
251,"Incorporating convolutional neural networks and sequence graph transform for identifying multilabel protein Lysine PTM sites ","2020/11/15","Deep learning,Convolutional neural network,Protein function prediction,Post translational modification,Graph theory,Multilabel learning"
252,"Topic model for online communities’ interests prediction ","2019/01/01","Social Media,Topic Modeling,Opinion Mining,Topic Labeling"
253,"Fused GRU with semantic-temporal attention for video captioning ","2020/06/28","Video captioning,GRU,Encoder-decoder,Attention mechanism,MSC,00-01,99-00"
254,"Tag recommendation by text classification with attention-based capsule network ","2020/05/28","Recommendation system,Deep neural networks,Attention model,Capsule network,Routing-by-agreement"
255,"Detection of housing and utility problems in districts through social media texts ","2020/01/01","Topic Modelling,One-class Classification,Urban Problems,Social Media Mining"
256,"Infrared facial expression recognition via Gaussian-based label distribution learning in the dark illumination environment for human emotion detection ","2020/10/07","Facial expression recognition,Convolutional neural network,Near-infrared,Correlation emotion label distribution,Human emotion detection"
257,"Discriminative ensemble learning for few-shot chest x-ray diagnosis ","2021/02/01","Few-shot,X-ray,Autoencoder,Ensemble,Discriminative,MSC,41A05,41A10,65D05,65D17"
258,"Beyond MeSH: Fine-grained semantic indexing of biomedical literature based on weak supervision ","2020/09/01","Semantic indexing,MeSH,Biomedical literature,Weak supervision,2010 MSC,00-01,99-00"
259,"An ontology for clinical questions about the contents of patient notes ","2012/04/01","Classification,Electronic health records,Natural language processing"
260,"DeepPPF: A deep learning framework for predicting protein family ","2021/03/07","Multi-scale convolutional neural network,Protein functional family,Protein sequence,Deep learning"
261,"Classifying patient portal messages using Convolutional Neural Networks ","2017/10/01","Abbreviations,CNN,Convolutional Neural Network,AUC,Area Under the Curve,UMLS,unified medical language system,CUI,concept unique identifiers,STY,semantic types,MHAV,My Health At Vanderbilt,VUMC,Vanderbilt University Medical Center,NLP,Natural Language Processing,BoW,bag of words,POS,part of speech,NER,name entity recognition,HER,Electronic Health Record,SD,Synthetic Derivative,NLTK,Natural Language Toolkit,DNN,Deep Neural Network,RF,random forest,LR,logistic regression,ACC,accuracy,Convolutional Neural Network,Word embedding,Patient portals,Text mining,Word2Vec"
262,"The pace of artificial intelligence innovations: Speed, talent, and trial-and-error ","2020/11/01","Artificial intelligence,Innovation speed,Average time interval,Update speed,The pace of AI"
263,"A recent overview of the state-of-the-art elements of text classification ","2018/09/15","Text classification,Document classification,Text classification overview,Document classification overview"
264,"Social media big data analytics: A survey ","2019/12/01","Big data,Social media,Machine learning,Analytics"
265,"The theoretical research of generative adversarial networks: an overview ","2021/05/07","Generative adversarial networks (GANs),Image generation,Gradient penalty"
266,"Multimodal feature-wise co-attention method for visual question answering ","2021/09/01","Feature-wise attention learning,Deep learning,Multimodal feature fusion,Visual question answering (VQA)"
267,"Knowledge graph embedding with concepts ","2019/01/15","Knowledge graph embedding,Concept space,Knowledge graph completion"
268,"Bidirectional LSTM with self-attention mechanism and multi-channel features for sentiment classification ","2020/04/28","Self-attention mechanism,Multi-channel features,Bidirectional long short-term memory,Sentiment classification"
269,"Unsupervised Latent Dirichlet Allocation for supervised question classification ","2018/05/01","Community-based QA,Question classification,LDA"
270,"Interactive POS-aware network for aspect-level sentiment classification ","2021/01/08","Aspect-level sentiment classification,Part-of-speech,Gating mechanism,Attention mechanism"
271,"A Filtering Process to Enhance Topic Detection and Labelling ","2020/01/01","Latent Dirichlet Model,Dirichlet Mixture Model,labels,textual data,topic detection,filtering process"
272,"Analysis of the trend of global power sources based on comment emotion mining ","2020/06/01","Global energy and power trend,Topic classification,Text emotion analysis,CNN,LSTM"
273,"Attention Mechanism in Radiologist-Level Thorax Diseases Detection ","2020/01/01","attention mechanism,thorax diseases detection,chest X-ray image recognition"
274,"Mood-aware visual question answering ","2019/02/22","Mood-aware,Visual question answering,Attention model,Long short term memory,Convolutional neural network"
275,"Mining multiple informational text structure from text data ","2020/01/01","Text structure,signal word,automatic classification,cognitive level"
276,"Event Nugget Detection using Pre-trained Language Models ","2020/01/01","Information retrieval,Event detection,Nugget,RoBERTa,BERT,Fine-tuning"
277,"Gradient descent evolved imbalanced data gravitation classification with an application on Internet video traffic identification ","2020/10/01",0
278,"vtGraphNet: Learning weakly-supervised scene graph for complex visual grounding ","2020/11/06","Visual grounding,Referring expression comprehension"
279,"Image captioning using DenseNet network and adaptive attention ","2020/07/01","Image captioning,DenseNet,LSTM,Adaptive attention mechanism"
280,"Text data augmentations: Permutation, antonyms and negation ","2021/09/01","Text,Augmentation,Multilabel,Multiclass,LSTM"
281,"Image retrieval from remote sensing big data: A survey ","2021/03/01","Remote sensing (rs) big data,Rs image retrieval methods,Rs image retrieval applications,Evaluation datasets and performance discussion,Future research directions"
282,"Fast text categorization using concise semantic analysis ","2011/02/01","Text representation,Semantic analysis,Text categorization,Dimensionality reduction"
283,"TDD-BPR: The topic diversity discovering on Bayesian personalized ranking for personalized recommender system ","2021/06/21","Recommender system,Topic modeling,Collaborative filtering,Attention mechanism,Deep learning"
284,"Curriculum learning for distant supervision relation extraction ","2020/03/01","Relation extraction,Curriculum learning,Mentor network"
285,"Semantic tagging of video ASR transcripts using the web as a source of knowledge ","2013/09/01","ASR transcripts categorization,Video semantic tagging,Web-based learning corpora,Semantic search"
286,"Data harmonisation as a key to enable digitalisation of the food sector: A review ","2021/05/01","Food sector,Data harmonisation,Food ontology,Harmonisation challenges"
287,"Crowd Video Event Classification using Convolutional Neural Network ","2019/11/01","Deep learning,Convolutional neural network (CNN),Crowd event classification,Support vector machine (SVM),Deep neural networks"
288,"Emotion Mining in Social Media Data ","2019/01/01","Data Mining,Emotion,Microblog,Sentiment Analysis,Twitter"
289,"NSDH: A Nonlinear Supervised Discrete Hashing framework for large-scale cross-modal retrieval ","2021/04/06","Cross-modal retrieval,Supervised hashing,Semantic enhancement descriptors"
290,"Parallel-fusion LSTM with synchronous semantic and visual information for image captioning ","2021/02/01","Image captioning,Parallel-fusion LSTM,Attention mechanism,Guiding LSTM"
291,"Text classification using capsules ","2020/02/01","Deep learning,Text classification,Capsule network,Machine learning,Text mining"
292,"Towards integrated dialogue policy learning for multiple domains and intents using Hierarchical Deep Reinforcement Learning ","2020/12/30","Dialogue management,Multi-domain,Multi-intent,Hierarchical Reinforcement Learning,Options"
293,"E3: Effective Emoticon Extractor for Behavior Analysis from Social Media ","2015/01/01","Emoticons,Sentiment analysis,Data mining,Clustering,Opinion Mining"
294,"A survey and analysis on automatic image annotation ","2018/07/01","Automatic image annotation,Generative model,Nearest-neighbor model,Discriminative model,Tag-completion,Deep learning"
295,"A multi-perspective study on Artificial Intelligence in Education: grants, conferences, journals, software tools, institutions, and researchers ","2020/01/01","Artificial intelligence in education,Multiple perspectives,Funding trend,Major research issues"
296,"Artificial intelligence to diagnose meniscus tears on MRI ","2019/04/01","Artificial intelligence (AI),Meniscus tear,Magnetic resonance imaging (MRI),Region convolutional neuronal networks (RCNN),Convolutional neuronal network (CNN)"
297,"Social emotion classification of short text via topic-level maximum entropy model ","2016/12/01","Topic-level maximum entropy model,Social emotion classification,Short-text analysis,Public opinion mining"
298,"Syntactic parsing and supervised analysis of Sindhi text ","2019/01/01","Sindhi parser,Sindhi WordNet,NLP,Tokenization,Machine learning,Supervised model"
299,"Towards better social crisis data with HERMES: Hybrid sensing for EmeRgency ManagEment System ","2020/09/01","Human-as-a-sensor,Hybrid sensing,Artificial intelligence,Emergency management,Online social networks"
300,"Medical speciality classification system based on binary particle swarms and ensemble of one vs. rest support vector machines ","2020/09/01","Medical text classification,Swarm intelligence,Support vector machines,Altibbi,Arabic language processing,One-versus-rest"
301,"End-to-End syndrome differentiation of Yin deficiency and Yang deficiency in traditional Chinese medicine ","2019/06/01","Traditional Chinese medicine,Syndrome differentiation,Yin deficiency,Yang deficiency,Text classification,End-to-end,Convolutional neural networks,FastText"
302,"Constructing a Heterogeneous Training Dataset for Emotion Classification ","2020/01/01","Twitter,Emotion Classification,Supervised Classifiers,Accuracy,TFIDF"
303,"Modeling sentiment dependencies with graph convolutional networks for aspect-level sentiment classification ","2020/04/06","Sentiment classification,Aspect-level,Sentiment dependencies,Graph convolutional networks"
304,"Learning discrete class-specific prototypes for deep semantic hashing ","2021/07/05","Deep semantic hashing,Learning discrete class-specific prototypes,Multi-task learning,Large-scale image retrieval"
305,"A deep community based approach for large scale content based X-ray image retrieval ","2021/02/01","Content based image retrieval (CBIR),Deep learning,Graph,Community detection"
306,"Joint aspect terms extraction and aspect categories detection via multi-task learning ","2021/07/15","Aspect terms extraction,Aspect categories detection,Joint model,Multi-task learning"
307,"Affective question answering on video ","2019/10/21","Video question answering,Emotion detection,Video captioning,Multi-task learning"
308,"Predicting associated statutes for legal problems ","2015/01/01","Text mining,Statute,Criminal judgment,Normalized Google Distance (NGD),Support vector machines (SVM),Apriori algorithm"
309,"Semi-supervised blockwisely architecture search for efficient lightweight generative adversarial network ","2021/04/01","Semi-supervised,GANs,Network architecture search,Image generation,Image classification,MSC,00-01,99-00"
310,"Emotional Intensity-based Success Prediction Model for Crowdfunded Campaigns ","2021/01/01","Domain aspect mining,Aspect-based sentiment analysis,SenticNet,Interpretability,Kickstarter,Crowdfunding campaign success prediction"
311,"A knowledge-based approach to hierarchical classification: A voting metaphor ","2020/12/15","Hierarchical classification,Knowledge-based classification,Rule-based systems,Performance measures"
312,"Deep learning and network analysis: Classifying and visualizing accident narratives in construction ","2020/05/01","Accident narratives,Deep learning,Text classification,Topic mining,Network analysis"
313,"Typical opinions mining based on Douban film comments in animated movies ","2021/01/01","Typical opinion mining,Extraction,Word2Vec,K-means"
314,"Sentiment topic models for social emotion mining ","2014/05/10",0
315,"Elucidating high-dimensional cancer hallmark annotation via enriched ontology ","2017/09/01","Hallmark of cancer,Text annotation,Ontology,High dimension"
316,"LFNN: Lion fuzzy neural network-based evolutionary model for text classification using context and sense based features ","2018/10/01","Text classification,Connectionist model,Incremental learning,Semantic word processing,Contextual word computation,Neural network,Fuzzy bounding"
317,"An Ontology-based Term Weighting Technique for Web Document Categorization ","2018/01/01","Ontology,Term occurrence,Classification,Confusion matrix"
318,"Hierarchical Dirichlet process with user's preference ","2012/10/01","user's preference,Dirichlet process,topic model,Gibbs sampling"
319,"Network embedding: Taxonomies, frameworks and applications ","2020/11/01","Network science,Network embedding,Heterogeneity,Dynamics"
320,"Multi-modal generative adversarial networks for traffic event detection in smart cities ","2021/09/01","Multi-modal learning,Semi-supervised learning,Traffic event detection,Generative adversarial network,Smart transportation,Deep learning"
321,"Class-specific mutual information variation for feature selection ","2018/07/01","Feature selection,Information theory,Dynamic change,Classification"
322,"Few shot learning for multi-class classification based on nested ensemble DSVM ","2020/03/01","Few shot learning,Multi-class classification,Deep support vector machine,AdaBoost,Nested ensemble learning"
323,"A disentangled generative model for disease decomposition in chest X-rays via normal image synthesis ","2021/01/01","Chest radiography (X-ray),Medical image synthesis,Disentangled representation learning,Disease decomposition"
324,"Multi-source domain adaptation with joint learning for cross-domain sentiment classification ","2020/03/05","Domain adaptation,Soft parameter sharing,Deep domain confusion,Cross-domain sentiment classification"
325,"Universal affective model for Readers’ emotion classification over short texts ","2018/12/30","Topic model,Emotion classification,Biterm,Short text"
326,"Parallelized extreme learning machine ensemble based on min–max modular network ","2014/03/27","Extreme learning machine,Min–max modular network,Big data,Ensemble method,Parallel learning"
327,"Differentiating language usage through topic models ","2013/12/01","Topic models,Language differentiation,Text,Domains,Culture,Sociology"
328,"Learning visual and textual representations for multimodal matching and classification ","2018/12/01","Vision and language,Multimodal matching,Multimodal classification,Deep learning"
329,"A service recommendation algorithm with the transfer learning based matrix factorization to improve cloud security ","2020/03/01",0
330,"Mining adaptive immune receptor repertoires for biological and clinical information using machine learning ","2020/12/01","Machine learning,Adaptive immune receptor repertoires,Immunodiagnostics,AIRR-seq"
331,"App trajectory recognition over encrypted internet traffic based on deep neural network ","2020/10/09","Encrypted internet traffic,Time series segmentation,Mobile app and activity classification"
332,"A similarity-based method for prediction of drug side effects with heterogeneous information ","2018/12/01","Drug side effect,Drug similarity,ATC code,Target protein,Minimum redundancy maximum relevance"
333,"Adversarial training based lattice LSTM for Chinese clinical named entity recognition ","2019/11/01","Clinical named entity recognition,Lattice LSTM,CRF,Adversarial training"
334,"Arabic audio clips: Identification and discrimination of authentic Cantillations from imitations ","2020/12/22","Learning systems,cantillations,Holy Quran audio clips,Automatic speaker recognition,Imitations,Deep learning"
335,"Attention guided capsule networks for chemical-protein interaction extraction ","2020/03/01","Capsule network,Self-attention mechanism,CPI,Chemical-protein interaction,Relation extraction"
336,"NDVI-Net: A fusion network for generating high-resolution normalized difference vegetation index in remote sensing ","2020/10/01","NDVI,Image fusion,Attention mechanism,Deep learning,Pan-sharpening"
337,"NGDNet: Nonuniform Gaussian-label distribution learning for infrared head pose estimation and on-task behavior understanding in the classroom ","2021/05/14","Head pose estimation,Deep learning,On-task behavior understanding,Infrared imaging,Soft label,Human–computer interaction,K,-12 education"
338,"Learning to recognize webpage genres ","2009/09/01","Web genre classification,Webpage representation,Character ,n,-grams"
339,"Deep heterogeneous network embedding based on Siamese Neural Networks ","2020/05/07","Network embedding,Heterogeneous network,Deep embedding,Siamese Neural Networks"
340,"Variable-constraint classification and quantification of radiology reports under the ACR Index ","2013/07/01","Medical reports,Automatic classification,Text classification"
341,"iRNA-PseKNC(2methyl): Identify RNA 2'-O-methylation sites by convolution neural network and Chou's pseudo components ","2019/03/21","Convolution neural network,2'-O-methylation,RNA,Deep learning,CNN,SVM"
342,"HEMOS: A novel deep learning-based fine-grained humor detecting method for sentiment analysis of social media ","2020/11/01","Sentiment analysis,Humor polarity,Social media,Emoji,Deep learning,2010 MSC,00-01,99-00"
343,"Intelligent healthcare informatics in big data era ","2015/10/01",0
344,"Directed disease networks to facilitate multiple-disease risk assessment modeling ","2020/02/01","Multiple-disease risk prediction,Health risk assessment,Disability adjusted life year,Directed network,Disease temporal relations"
345,"Crowdsourcing – A Step Towards Advanced Machine Learning ","2018/01/01","Hybrid smart machines,developmental experimentation,debugging,model-checking,crowdsourcing"
346,"Toward an enhanced Arabic text classification using cosine similarity and Latent Semantic Indexing ","2017/04/01","Arabic text,Classification,Supervised learning,Cosine similarity,Latent Semantic Indexing"
347,"Integrating knowledge-based sparse representation for image detection ","2021/06/28","Image detection,Deep reasoning,Knowledge graph,Gated graph neural network,Simrank,Dictionary learning"
348,"Supervised Coarse-to-Fine Semantic Hashing for cross-media retrieval ","2017/04/01","Cross-modal retrieval,Coarse-to-fine semantic information,Hashing,Inter-category and intra-category"
349,"Affective topic model for social emotion detection ","2014/10/01","Affective topic model,Social emotion detection,Sentiment classification,Social emotion lexicon"
350,"Enabling policy making processes by unifying and reconciling corporate names in public procurement data. The CORFU technique ","2015/09/01","Name disambiguation,Public spending,Linked Data"
351,"Syntax-aware entity representations for neural relation extraction ","2019/10/01","Distant supervision,Relation extraction,Neural network,Syntactic structure,Attention mechanism"
352,"Topic Detection Approaches in Identifying Topics and Events from Arabic Corpora ","2018/01/01","Topic modeling,LDA,Clustering,Data Mining"
353,"Associative knowledge feature vector inferred on external knowledge base for dialog state tracking ","2019/03/01","Dialog state tracking,Knowledge base,Knowledge graph,Associative knowledge inference"
354,"Task-generic semantic convolutional neural network for web text-aided image classification ","2019/02/15","Semantic convolutional neural network,Image recognition,Text representation,Multi-modal learning"
355,"Quantifying the generalization error in deep learning in terms of data distribution and neural network smoothness ","2020/10/01","Neural networks,Generalization error,Learnability,Data distribution,Cover complexity,Neural network smoothness"
356,"A tale of two epidemics: Contextual Word2Vec for classifying twitter streams during outbreaks ","2019/01/01","Epidemics,Ebola,Zika,PubMed,Twitter,Text classification,Word Vectors"
357,"A Bayesian LSTM model to evaluate the effects of air pollution control regulations in Beijing, China ","2021/01/01","Air pollution control regulations,Effects of regulatory interventions,Bayesian LSTM,Propensity score,Counterfactual analysis,Causal inference"
358,"Hybrid spatiotemporal models for sentiment classification via galvanic skin response ","2019/09/17","Galvanic skin response,Physiological signals,Sentiment recognition,Deep learning,MSC,00-01,99-00"
359,"Crowdsourced reliable labeling of safety-rule violations on images of complex construction scenes for advanced vision-based workplace safety ","2019/10/01","Crowdsourcing,Construction safety,Image annotation,Bayesian network model,Safety inspection"
360,"Adaptive context aware decision computing paradigm for intensive health care delivery in smart cities—A case analysis ","2018/08/01","Heart failure risk prediction,Context-aware system,Clinical decision support system,Support vector machine,Smart cities"
361,"Learning structured medical information from social media ","2020/10/01","Social media mining,Medical concept extraction,Pharmacovigilance,Conditional random fields,Semi-supervised algorithm"
362,"Machine-learning-based multiple abnormality prediction with large-scale chest computed tomography volumes ","2021/01/01","chest computed tomography,multilabel classification,convolutional neural network,deep learning,machine learning,Abbreviations,SARLE,(Sentence Analysis for Radiology Label Extraction),RAD-ChestCT,(Report-Annotated Duke Chest CT),AUROC,(area under the receiver operating characteristic)"
363,"Extracting useful software development information from mobile application reviews: A survey of intelligent mining techniques and tools ","2018/12/15","Mobile application review,App review,App review mining, app development,Intelligent app review mining tools,Intelligent app review mining techniques"
364,"Opinion mining using ensemble text hidden Markov models for text classification ","2018/03/15","Opinion mining,Sentiment analysis,Hidden Markov models,Ensemble,Boosting,Clustering"
365,"Segmented convolutional gated recurrent neural networks for human activity recognition in ultra-wideband radar ","2020/07/05","Micro-Doppler spectrograms,Human activity recognition,Deep learning,Convolutional neural network,Recurrent neural network"
366,"A Rule-based Approach for Identifying Obesity and Its Comorbidities in Medical Discharge Summaries ","2009/07/01",0
367,"Machine learning algorithms for social media analysis: A survey ","2021/05/01","Social Media,Machine learning,Social network analysis,Applications of social media analysis"
